id,active,owner,tentant,name,address1,city,state,zip,country,email,home_phone,work_phone,cell_phone,other_phone
123,1,1,0,Mr. Carl Stover,1419 Harvest Moon Dr,Unionville,ON,L3R 0L7,Canada,CarlMStover@teleworm.us,,905-248-9864,,
124,0,1,0,Mr. Jerry Bell,4717 Chandler Drive,Highlandville,MO,65669,United States,JerryLBell@superrito.com,,,,417-587-9460
125,0,1,0,Mr. Isaac Vinson,4868 11th Ave,Calgary,AB,T2P 1M6,Canada,IsaacLVinson@cuvox.de,403-264-4086,,,
126,0,1,0,Mr. Michael Humiston,2926 Evergreen Lane,El Monte,CA,91731,United States,MichaelDHumiston@fleckens.hu,,323-516-3305,,
127,1,1,0,Mrs. Diane Harrison,1721 Rockford Road,West Roxbury,MA,2132,United States,DianeTHarrison@armyspy.com,,,,774-766-4448
128,1,1,0,Mr. Scott Rogers,2999 Nelson Street,Kingfisher Lake,ON,P0V 1Z0,Canada,ScottBRogers@fleckens.hu,807-532-4105,,,
129,0,1,0,Dr. James Hodges,374 Park Ct,Stony Plain,AB,T0E 2G0,Canada,JamesDHodges@armyspy.com,,780-963-9571,,
130,0,1,0,Mr. Jackson Riddle,3934 MacLaren Street,Ottawa,ON,K1P 5M7,Canada,JacksonGRiddle@jourrapide.com,,,,613-782-7677
131,1,1,0,Ms. Monica Kelso,288 De la Providence Avenue,Hull,QC,J8Y 3Y5,Canada,MonicaFKelso@dayrep.com,,,,819-962-0384
132,1,0,1,Ms. Cheryl Cochran,4861 Parrill Court,Laporte,IN,46350,United States,CherylSCochran@cuvox.de,,219-325-3146,,
133,1,1,0,Mr. James Snyder,2706 Cork St,Guelph,ON,N1H 2W8,Canada,JamesDSnyder@jourrapide.com,,,,519-827-5772
134,0,0,1,Mr. Francis Robinson,1079 Queen Elizabeth Boulevard,Etobicoke,ON,M8Z 1M3,Canada,FrancisSRobinson@rhyta.com,,,416-770-6454,
135,1,1,0,Mrs. Elizabeth Irish,4670 Armbrester Drive,West Los Angeles,CA,90025,United States,ElizabethMIrish@armyspy.com,310-477-0202,,,
136,1,1,0,Mrs. Susan Robinson,4470 Mcwhorter Road,Greenwood,MS,38903,United States,SusanDRobinson@cuvox.de,,662-453-0713,,
137,1,1,0,Mr. Leon Perkins,367 Pretty View Lane,Cotati,CA,94928,United States,LeonAPerkins@teleworm.us,707-792-6060,,,
138,1,0,1,Mr. James Booher,4740 Isaacs Creek Road,Mason City,IL,62664,United States,JamesRBooher@superrito.com,,,217-482-3862,
139,0,1,0,Mr. Johnny Tynes,2741 George Street,Peterborough,ON,K9H 2L1,Canada,JohnnyMTynes@fleckens.hu,,,705-312-3709,
140,1,1,0,Mr. Gary Oconner,2308 Big Indian,New Orleans,LA,70171,United States,GaryMOconner@teleworm.us,,,504-620-2799,
141,0,0,1,Mr. Abdul Stutts,1193 Diamond Street,Asheville,NC,28801,United States,AbdulSStutts@armyspy.com,,,,828-552-2598
142,0,0,1,Mr. Jame Murray,4020 Bank St,Ottawa,ON,K1H 7Z1,Canada,JameOMurray@armyspy.com,,613-316-4545,,
143,1,1,0,Ms. Jo Potter,2757 Bel Meadow Drive,Redlands,CA,92373,United States,JoJPotter@cuvox.de,909-307-7125,,,
144,1,1,0,Mr. Daniel Chambers,2946 Eglinton Avenue,Toronto,ON,M4P 1A6,Canada,DanielAChambers@rhyta.com,647-988-2171,,,
145,1,0,1,Ms. Betty Leblanc,1793 Simpson Street,Secor,IL,61771,United States,BettyELeblanc@jourrapide.com,,,309-744-0584,
146,1,1,0,Mr. James Easton,2629 Clark Street,Schaumburg,IL,60173,United States,JamesLEaston@rhyta.com,630-977-1219,,,
147,1,0,1,Mrs. Delia Estrada,4093 40th Street,Calgary,AB,T2A 1C8,Canada,DeliaAEstrada@superrito.com,,403-235-7240,,
148,1,0,1,Mrs. Tamera Short,2493 Ste. Catherine Ouest,Montreal,QC,H3B 2M1,Canada,TameraDShort@jourrapide.com,514-228-1611,,,
149,1,1,0,Mrs. Lashonda Arcand,4102 Alaska Hwy,Fort Nelson,BC,V0C 1C0,Canada,LashondaWArcand@superrito.com,,,867-444-7127,
150,0,1,0,Mr. Lawrence Daniel,323 Silver Springs Blvd,Calgary,AB,T3E 0K6,Canada,LawrenceBDaniel@gustr.com,,403-246-6936,,
151,1,1,0,Mr. Clifford Williford,809 Marion Street,Charlotte,SC,28202,United States,CliffordAWilliford@gustr.com,,803-203-5771,,
152,1,1,0,Mrs. Jill Childress,3076 Cityview Drive,King Of Prussia,PA,19406,United States,JillSChildress@einrot.com,,,610-491-3964,
153,1,1,0,Ms. Kathleen Halpern,2853 Rainbow Road,Los Angeles,CA,90014,United States,KathleenRHalpern@dayrep.com,626-271-2754,,,
154,1,1,0,Ms. Beatrice Bucher,275 Ashford Drive,Sterling,VA,20166,United States,BeatriceSBucher@gustr.com,,,,703-652-5004
155,1,1,0,Mr. George Tassone,328 Rowes Lane,Owensboro,KY,42301,United States,GeorgeETassone@einrot.com,270-684-3385,,,
156,1,1,0,Ms. Kara Rivera,1775 Woodlawn Drive,Milwaukee,WI,53207,United States,KaraKRivera@teleworm.us,414-747-0546,,,
157,1,1,0,Mrs. Ruth Krach,4830 Algoma St,Thunder Bay,ON,P7A 4T3,Canada,RuthBKrach@cuvox.de,,,807-983-1965,
158,0,1,0,Mr. Kenton Belcher,4081 Thurston Dr,Hull,QC,K1A 0C9,Canada,KentonKBelcher@superrito.com,,,,819-635-9833
159,0,1,0,Dr. Raymond Mason,1453 Confederate Drive,Syracuse,NY,13202,United States,RaymondLMason@cuvox.de,315-693-3963,,,
160,1,1,0,Mrs. Jennifer Hall,1985 Caynor Circle,Linden,NJ,7036,United States,JenniferRHall@cuvox.de,,908-474-5125,,
161,1,1,0,Mr. Christopher Merritt,2045 Kemper Lane,Salt Lake City,UT,84111,United States,ChristopherSMerritt@dayrep.com,801-828-0135,,,
162,0,1,0,Ms. Shelly Moore,4331 Pinewood Drive,Burr Ridge,IL,61257,United States,ShellyJMoore@dayrep.com,,,847-822-4812,
163,1,1,0,Mr. Ricky Ripley,4148 Burnt Island Road,Port Sydney,ON,P0B 1L0,Canada,RickyTRipley@rhyta.com,705-385-0249,,,
164,1,0,1,Mr. Shelton Werner,1941 Fairfax Drive,Newark,NJ,7102,United States,SheltonEWerner@armyspy.com,908-954-4873,,,
165,1,1,0,Mr. Robert Martin,3840 Kinchant St,Kamloops,BC,V2C 1Y1,Canada,RobertNMartin@dayrep.com,,,,250-574-8037
166,0,1,0,Mrs. Cathy Oneal,349 rue des Églises Est,Nedelec,QC,J0Z 2Z0,Canada,CathyJOneal@rhyta.com,,,,819-784-4241
167,1,1,0,Mrs. Ruby Towner,1623 Oakridge Lane,Dallas,TX,75207,United States,RubyCTowner@superrito.com,,469-765-8189,,
168,0,1,0,Mrs. Jennifer Dyer,2329 St Jean Baptiste St,St Odilon De Cranbourne,QC,G0S 3A0,Canada,JenniferRDyer@cuvox.de,418-464-6682,,,
169,1,1,0,Mr. Steven Garces,906 Robson St,Vancouver,BC,V6B 3K9,Canada,StevenCGarces@superrito.com,604-699-7947,,,
170,1,1,0,Mr. Joey Cisneros,4433 Bloor Street,Lougheed,AB,T0B 2V0,Canada,JoeyKCisneros@armyspy.com,,,780-386-4634,
171,1,0,1,Mr. Louis Joyce,2537 Franklee Lane,Philadelphia,PA,19108,United States,LouisDJoyce@einrot.com,,484-612-0311,,
172,1,1,0,Ms. Wanda Young,4687 Holdom Avenue,Surrey,BC,V3T 4Y5,Canada,WandaMYoung@rhyta.com,604-951-5824,,,
173,1,1,0,Mrs. Nancy O'Neill,2834 McKinley Avenue,Denver,CO,80221,United States,NancyTONeill@armyspy.com,303-852-4598,,,
174,0,1,0,Ms. Martha Green,4640 Shinn Street,New York,NY,10004,United States,MarthaRGreen@jourrapide.com,212-785-3686,,,
175,1,1,0,Mr. William Quinn,1846 Tanner Street,Vancouver,BC,V5R 2T4,Canada,WilliamDQuinn@teleworm.us,,604-880-4969,,
176,0,1,0,Mr. John Hill,4395 Davisson Street,Wilkinson,IN,46186,United States,JohnRHill@fleckens.hu,,765-785-0679,,
177,1,1,0,Ms. Debbie Allen,944 Swick Hill Street,La Grange,TX,78945,United States,DebbieKAllen@einrot.com,,979-968-3109,,
178,1,1,0,Mrs. Anna Miles,1515 Viking Drive,Dublin,OH,43017,United States,AnnaJMiles@superrito.com,,,740-713-8921,
179,0,1,0,Mrs. Teresa Gorman,3013 Prince William,Saint John,NB,E2L 4V1,Canada,TeresaTGorman@einrot.com,,,,506-721-3083
180,1,1,0,Mr. Richard Brewer,1669 Dola Mine Road,Durham,NC,27701,United States,RichardDBrewer@dayrep.com,,919-385-8425,,
181,1,1,0,Mr. Cornell Farnsworth,3586 Stiles Street,Coraopolis,PA,15108,United States,CornellMFarnsworth@rhyta.com,,,412-604-5343,
182,1,1,0,Mr. Steven Shank,2299 Forest Drive,Vienna,VA,22181,United States,StevenLShank@jourrapide.com,,703-938-2352,,
183,1,1,0,Ms. Katherine Stutes,3056 Gorham Street,London,ON,N0N 0N0,Canada,KatherineLStutes@teleworm.us,519-679-0583,,,
184,0,1,0,Ms. Stacy Vanek,1087 Simpson Street,Little York,IL,61453,United States,StacyBVanek@fleckens.hu,309-729-1913,,,
185,1,1,0,Ms. Beverly Kelley,1459 Spring Street,Monticello,IL,61856,United States,BeverlyLKelley@superrito.com,217-762-1602,,,
186,1,1,0,Mr. Ira Scott,18 Roger Street,Courtenay,BC,V9N 2J6,Canada,IraLScott@fleckens.hu,,250-897-0864,,
187,0,1,0,Ms. Ruth Koenig,2387 Merton Street,Toronto,ON,M1L 3K7,Canada,RuthJKoenig@einrot.com,,416-420-5751,,
188,0,1,0,Ms. Dorothy Tyson,2506 Sussex Court,Thornton,TX,76687,United States,DorothyCTyson@einrot.com,,,254-385-7082,
189,1,1,0,Mrs. Miranda Wolff,1218 Pritchard Court,Mankato,MN,56001,United States,MirandaJWolff@superrito.com,507-420-0192,,,
190,1,1,0,Mr. Thomas Bonnett,4346 Collins Street,Johnstown,PA,15904,United States,ThomasJBonnett@einrot.com,,814-241-9522,,
191,1,0,1,Mrs. Lana Yerger,2154 Elgin Street,Athens,ON,K0E 1B0,Canada,LanaSYerger@rhyta.com,,,,613-924-7849
192,0,1,0,Ms. April Creasey,2157 Pritchard Court,Osseo,MN,55369,United States,AprilNCreasey@einrot.com,,,,507-419-4813
193,1,1,0,Mr. William Veal,3646 184th Street,Edmonton,AB,T5J 2R4,Canada,WilliamMVeal@dayrep.com,,780-720-6559,,
194,1,1,0,Mr. Nicholas Ricketts,3629 Hall Place,Carthage,TX,75633,United States,NicholasARicketts@superrito.com,,,,903-693-1165
195,1,1,0,Mr. Thomas Hamby,4655 Old Spallumcheen Rd,Yarrow,BC,V0X 2A0,Canada,ThomasMHamby@gustr.com,,604-823-4643,,
196,1,1,0,Mrs. Marcia Fajardo,4130 Hartway Street,Lake Norden,SD,57248,United States,MarciaJFajardo@cuvox.de,,,,605-785-6981
197,0,1,0,Mr. Wayne Smith,3335 MacLaren Street,Ottawa,ON,K1P 5M7,Canada,WaynePSmith@superrito.com,,613-913-6828,,
198,1,1,0,Mrs. Jane Turner,1329 rue Saint-Charles,Longueuil,QC,J4H 1M3,Canada,JaneDTurner@superrito.com,,,450-448-9722,
199,1,1,0,Mr. Daniel Lowery,4725 Elm Drive,New York,NY,10013,United States,DanielCLowery@superrito.com,,,646-520-1102,
200,1,1,0,Mrs. Gemma Garlock,4800 Kennedy Rd,Peterborough,ON,K9J 7K6,Canada,GemmaCGarlock@cuvox.de,,,,705-927-9380
201,1,0,1,Ms. Melissa Correia,2101 MacLaren Street,Ottawa,ON,K1P 5M7,Canada,MelissaWCorreia@cuvox.de,,,613-913-9502,
202,1,1,0,Ms. Debra Collins,1393 Burton Avenue,Memphis,TN,38104,United States,DebraSCollins@teleworm.us,,,901-721-7083,
203,1,1,0,Ms. Vanessa Clark,888 Bryan Street,Greensboro,NC,27401,United States,VanessaCClark@fleckens.hu,,336-268-2701,,
204,0,0,1,Ms. Deborah Bosworth,4940 Wood Street,Grand Isle,LA,70358,United States,DeborahRBosworth@dayrep.com,985-787-1125,,,
205,0,0,1,Mr. Robert Austin,1644 Arron Smith Drive,Honolulu,HI,96813,United States,RobertLAustin@einrot.com,808-538-2796,,,
206,0,1,0,Dr. Stacia Terhune,4357 rue Boulay,Acton Vale,QC,J0H 1A0,Canada,StaciaETerhune@teleworm.us,,,450-546-2700,
207,0,1,0,Mr. Gregory Butcher,1466 Parkdale Ave,Brockville,ON,K6V 4X4,Canada,GregoryLButcher@jourrapide.com,,613-341-0196,,
208,1,1,0,Mrs. Abigail Patrick,2986 Bloor Street,Vegreville,AB,T0B 4L0,Canada,AbigailRPatrick@superrito.com,780-744-8334,,,
209,0,1,0,Ms. Elizabeth Koga,771 Aspen Court,Lowell,MA,1852,United States,ElizabethRKoga@teleworm.us,,,617-431-1887,
210,1,1,0,Mrs. Tiffany Warr,3461 rue Levy,Montreal,QC,H3C 5K4,Canada,TiffanySWarr@superrito.com,514-704-9613,,,
211,0,1,0,Mr. Joshua Nace,3363 Oak Lane,Stanberry,MO,64489,United States,JoshuaMNace@jourrapide.com,,660-783-3524,,
212,0,1,0,Mrs. Hazel Norman,245 11th Ave,Calgary,AB,T2P 1M6,Canada,HazelRNorman@jourrapide.com,403-263-9524,,,
213,1,1,0,Ms. Essie Chan,1285 Craven Place,Medicine Hat,AB,T1A 0N1,Canada,EssieWChan@fleckens.hu,403-548-1068,,,
214,1,1,0,Mrs. Vivian Enyeart,3160 Blackwell Street,Fairbanks,AK,99701,United States,VivianCEnyeart@cuvox.de,,907-374-5668,,
215,1,1,0,Mr. David Parrish,4349 Lee Avenue,Camden,NJ,8104,United States,DavidAParrish@armyspy.com,,856-355-3019,,
216,1,1,0,Mr. Travis Wallace,298 rue des Églises Est,Ville Marie,QC,J0Z 3W0,Canada,TravisPWallace@superrito.com,,819-622-7158,,
217,1,1,0,Ms. Rosemarie Masters,3076 Sherbrooke Ouest,Montreal,QC,H4A 1H3,Canada,RosemarieRMasters@fleckens.hu,514-244-0459,,,
218,1,1,0,Mr. John Lawson,122 47th Avenue,Pelly Crossing,YT,Y0B 1P0,Canada,JohnJLawson@jourrapide.com,,867-537-6976,,
219,1,1,0,Mr. John Welch,855 Sarah Drive,Eunice,LA,70535,United States,JohnAWelch@superrito.com,,,337-457-9475,
220,0,1,0,Mr. Thomas Hernandez,97 Isabella Street,Petawawa,ON,K8H 1P6,Canada,ThomasCHernandez@teleworm.us,613-687-4699,,,
221,1,1,0,Mr. Stephan Higginbotham,4145 Brew Creek Rd,Brackendale,BC,V0N 1H0,Canada,StephanDHigginbotham@rhyta.com,604-898-2208,,,
222,1,1,0,Mr. Charles Bryant,243 Heron Way,Portland,OR,97206,United States,CharlesMBryant@cuvox.de,,503-771-4479,,
223,0,1,0,Mrs. Kari Levi,1578 McGill Road,Kamloops,BC,V2C 5R8,Canada,KariTLevi@armyspy.com,,250-377-5774,,
224,1,1,0,Mrs. Debra Smith,4627 Pearlman Avenue,Boston,MA,2110,United States,DebraRSmith@cuvox.de,978-253-2670,,,
225,0,0,1,Mr. Scott Snow,3743 Balmy Beach Road,Owen Sound,ON,N4K 2N7,Canada,ScottMSnow@jourrapide.com,,,,519-374-2055
226,1,1,0,Mrs. Diane Horn,4914 Lynden Road,Hampton,ON,L0B 1J0,Canada,DianeJHorn@fleckens.hu,,,905-263-6118,
227,1,0,1,Mr. David Walker,2073 Lake Floyd Circle,Bensalem,DE,19020,United States,DavidCWalker@einrot.com,,302-243-4639,,
228,0,0,1,Ms. Helena Rice,499 Kimberly Way,Caledonia,MI,49316,United States,HelenaWRice@fleckens.hu,,616-891-6595,,
229,1,1,0,Mr. Ronald McLean,3160 Fort Street,Seattle,WA,98101,United States,RonaldSMcLean@rhyta.com,,253-249-1914,,
230,0,1,0,Mrs. Helen Brown,254 Neville Street,Westport,IN,47283,United States,HelenJBrown@superrito.com,,,,812-591-0120
231,1,1,0,Mr. Robert Sutera,3270 King Street,Unionville,ON,I3R 0L7,Canada,RobertHSutera@gustr.com,,905-480-2824,,
232,0,1,0,Mr. Clyde Dwyer,2771 Roger Street,Nanaimo,BC,V9T 5H3,Canada,ClydeTDwyer@dayrep.com,250-618-7306,,,
233,1,1,0,Mr. James Wydra,1907 49th Avenue,Resolute,NU,X0A 0V0,Canada,JamesAWydra@cuvox.de,,,867-252-2278,
234,1,1,0,Mr. Justin Jackson,2711 Central Avenue,Oakland,NJ,7436,United States,JustinVJackson@armyspy.com,201-337-6059,,,
235,0,0,1,Mrs. Carrie Nelson,4853 René-Lévesque Blvd,Montreal,QC,H3B 4W8,Canada,CarrieRNelson@superrito.com,,514-569-5612,,
236,0,1,0,Dr. Emilia Brown,469 Isabella Street,Belleville,ON,K8N 4Z5,Canada,EmiliaSBrown@fleckens.hu,,,,613-921-0483
237,1,1,0,Mr. Wayne Grigg,1081 Summerfield Blvd,Airdrie,AB,T4B 2C2,Canada,WayneDGrigg@superrito.com,,,,403-316-5772
238,1,1,0,Mr. Mark Pawlak,1498 St. John Street,Spiritwood,SK,S4P 3Y2,Canada,MarkJPawlak@superrito.com,,,,306-883-1478
239,1,1,0,Ms. Diane Taylor,2546 rue des Églises Est,La Reine,QC,J0Z 2L8,Canada,DianeJTaylor@cuvox.de,,,819-947-3083,
240,0,1,0,Ms. Analisa Shelton,4272 Galts Ave,Red Deer,AB,T4N 2A6,Canada,AnalisaFShelton@cuvox.de,403-352-6473,,,
241,1,1,0,Mr. Robert Upson,2647 Central Pkwy,Port Credit,ON,L5G 1K2,Canada,RobertPUpson@cuvox.de,,905-274-5010,,
242,0,1,0,Mr. Robert Hickman,2621 St. John Street,Cupar,SK,S4P 3Y2,Canada,RobertDHickman@jourrapide.com,,,306-723-5648,
243,1,0,1,Ms. Erin Ford,3017 Mandan Road,St Peters,MO,63303,United States,ErinTFord@teleworm.us,573-795-8410,,,
244,1,1,0,Mr. Mark Lawton,4066 Silver St,Elk Lake,ON,P0J 1G0,Canada,MarkDLawton@superrito.com,,705-678-6241,,
245,0,1,0,Mr. Kirk Blakley,1883 Angie Drive,Westminster,CA,92683,United States,KirkDBlakley@gustr.com,714-893-7975,,,
246,1,1,0,Ms. Jaime Wilson,1507 Rose Street,Schaumburg,IL,60173,United States,JaimeBWilson@gustr.com,,708-254-1118,,
247,1,0,1,Mr. Robert Riggs,4207 Rose Street,Regina,SK,S4P 3V2,Canada,RobertLRiggs@rhyta.com,,,306-596-2740,
248,1,1,0,Mrs. Loretta Milliman,3063 James Street,Hearst,ON,P0L 1N0,Canada,LorettaPMilliman@dayrep.com,705-362-6446,,,
249,1,1,0,Ms. Janet Edwards,4276 Chicago Avenue,Fresno,CA,93721,United States,JanetDEdwards@rhyta.com,,559-507-6623,,
250,1,1,0,Mrs. Rebecca Little,3717 Turnpike Drive,Huntsville,AL,35802,United States,RebeccaRLittle@armyspy.com,,256-348-3689,,
251,1,1,0,Mr. Wade Cervantes,1544 Bay Street,Toronto,ON,M5J 2R8,Canada,WadeLCervantes@cuvox.de,416-878-9509,,,
252,1,1,0,Ms. Yvette Frazier,1201 Islington Ave,Toronto,ON,M8V 3B6,Canada,YvetteJFrazier@superrito.com,416-521-5444,,,
253,1,1,0,Mr. Joseph Korn,562 Birkett Lane,Brantford,ON,N3T 2Z8,Canada,JosephPKorn@fleckens.hu,,519-759-5463,,
254,0,1,0,Ms. Daisy Lochner,695 Coal Road,Turbotville,PA,17772,United States,DaisyJLochner@fleckens.hu,,570-649-1054,,
255,1,1,0,Mr. Delbert Bailey,1529 Sherman Street,Wathena,KS,66090,United States,DelbertABailey@jourrapide.com,,,,785-989-9378
256,1,1,0,Ms. Debra Chung,527 Bridgeport Rd,Collingwood,ON,L9Y 1X1,Canada,DebraAChung@fleckens.hu,,705-607-7841,,
257,1,1,0,Ms. Harriet Fudge,923 Speers Road,Oakville,ON,L6H 3H5,Canada,HarrietMFudge@cuvox.de,,,,905-483-2113
258,1,1,0,Mr. Carlos Ferris,4375 Goyeau Ave,Windsor,ON,N9A 1H9,Canada,CarlosVFerris@armyspy.com,519-561-5650,,,
259,1,1,0,Mr. Jessie Cox,4419 Silver Springs Blvd,Calgary,AB,T3B 2C3,Canada,JessieLCox@rhyta.com,403-247-6045,,,
260,1,1,0,Mrs. Sherrie Flinchum,4338 Millbrook Road,Chicago,IL,60605,United States,SherrieRFlinchum@teleworm.us,,630-750-6381,,
261,1,1,0,Ms. Ellen Weatherford,241 Loving Acres Road,Fort Worth,TX,76102,United States,EllenJWeatherford@gustr.com,,817-257-7060,,
262,1,1,0,Mrs. Cathy Smith,848 Eglinton Avenue,Toronto,ON,M4P 1A6,Canada,CathyJSmith@rhyta.com,647-201-0229,,,
263,1,1,0,Ms. Donna Holt,851 Gerald L. Bates Drive,South Boston,MA,2127,United States,DonnaRHolt@fleckens.hu,617-800-2863,,,
264,1,0,1,Mr. Michael Leigh,1656 Whitman Court,Stamford,CT,6995,United States,MichaelJLeigh@cuvox.de,,,203-638-9720,
265,1,1,0,Ms. Delilah Jones,321 Duncan Avenue,West Nyack,NY,10994,United States,DelilahSJones@cuvox.de,,,,917-583-1840
266,1,1,0,Ms. Blanch Acosta,1540 Nelson Street,Ogoki,ON,P0T 2L0,Canada,BlanchHAcosta@cuvox.de,,,,807-349-3831
267,1,1,0,Mrs. Mildred Carpenter,3028 Merton Street,Toronto,ON,M1L 3K7,Canada,MildredNCarpenter@cuvox.de,416-420-0272,,,
268,1,1,0,Mrs. Wilma Jones,2558 Côte Joyeuse,Senneterre,QC,H0H 0H0,Canada,WilmaRJones@einrot.com,,,819-737-3323,
269,1,1,0,Ms. Sandra Alexander,1802 St. John Street,Imperial,SK,S4P 3Y2,Canada,SandraAAlexander@einrot.com,,,306-963-6971,
270,1,1,0,Mr. Wesley Christenson,1658 Robson St,Vancouver,BC,V6B 3K9,Canada,WesleyRChristenson@cuvox.de,604-844-5190,,,
271,1,1,0,Mr. Lester Enger,97 Blanshard,Victoria,BC,V8W 2H9,Canada,LesterDEnger@cuvox.de,,,250-952-3563,
272,0,1,0,Mr. James Short,2777 Barrydowne Road,Sudbury,ON,P3E 5K3,Canada,JamesDShort@einrot.com,,705-688-6251,,
273,1,0,1,Ms. Amanda Schwartz,2315 Eglinton Avenue,Toronto,ON,M4P 1A6,Canada,AmandaESchwartz@superrito.com,,647-200-6331,,
274,0,0,1,Mr. Robert Sutherland,454 Tolmie St,Vancouver,BC,V6R 4C5,Canada,RobertDSutherland@teleworm.us,604-225-0759,,,
275,1,1,0,Mr. Gilberto Cushman,3447 St. John Street,Viscount,SK,S4P 3Y2,Canada,GilbertoKCushman@einrot.com,,,,306-944-6643
276,1,1,0,Ms. Michelle Koepke,4559 Swick Hill Street,Albemarle,NC,28001,United States,MichelleMKoepke@fleckens.hu,980-581-7312,,,
277,1,1,0,Mrs. Julia Ramos,1619 Jenna Lane,West Des Moines,IA,50266,United States,JuliaJRamos@fleckens.hu,515-273-0410,,,
278,1,1,0,Mr. Mario Brooks,1509 Pretty View Lane,Arcata,CA,95521,United States,MarioSBrooks@jourrapide.com,,707-825-1572,,
279,1,1,0,Mr. Paul Rodriguez,2627 Woodland Avenue,New Orleans,LA,70112,United States,PaulRRodriguez@gustr.com,985-743-1798,,,
280,1,1,0,Ms. Cassie Byrd,266 Pratt Avenue,Olympia,WA,98501,United States,CassieBByrd@teleworm.us,,,360-956-1279,
281,1,1,0,Mrs. Martha Gifford,3456 rue Levy,Montreal,QC,H3C 5K4,Canada,MarthaRGifford@cuvox.de,,514-772-6688,,
282,1,1,0,Mr. Sean Garza,169 Parker Drive,Warrensville Heights,OH,44128,United States,SeanHGarza@armyspy.com,,216-672-9115,,
283,1,0,1,Mr. Jerry Christensen,3610 Aspen Court,Boston,MA,2115,United States,JerryVChristensen@teleworm.us,617-375-0118,,,
284,0,1,0,Mr. Sean Jackson,600 rue des Églises Est,St Hippolyte,QC,J0R 1P0,Canada,SeanJJackson@rhyta.com,,,450-563-3049,
285,1,0,1,Mrs. Linda Broadway,1195 rue Garneau,Quebec,QC,G1V 3V5,Canada,LindaEBroadway@gustr.com,,418-658-8661,,
